id,reference,search,true_x,true_y,seed,scale,rotation_deg,architecture,parameters
0,data\references\ref_0000.png,data\searches\search_0000.png,501.5000,605.5000,3532554826,0.109412,1.56613,dram,"{""psf_sigma"":0.9934542060268017,""photons"":109.98364196553939,""detector_sigma"":3.800561505238529,""sp_probability"":0.0007115110764183774,""edge_gain"":0.182282870033678,""vignette"":0.05473997891741443,""streaks"":1}"
1,data\references\ref_0001.png,data\searches\search_0001.png,425.5000,599.5000,2262496028,0.094823,0.36160,finfet,"{""psf_sigma"":0.7769384617866875,""photons"":153.391436511241,""detector_sigma"":3.743091886718887,""sp_probability"":0.0005729053634076171,""edge_gain"":0.10817609981514895,""vignette"":0.031132019833036408,""streaks"":3}"
2,data\references\ref_0002.png,data\searches\search_0002.png,541.0000,507.0000,3591753939,0.091935,-1.00459,finfet,"{""psf_sigma"":0.9119833800525753,""photons"":126.35360109106031,""detector_sigma"":2.4242190815918083,""sp_probability"":0.0009401203924531902,""edge_gain"":0.14869896077631423,""vignette"":0.03110934767164766,""streaks"":2}"
3,data\references\ref_0003.png,data\searches\search_0003.png,533.0000,442.0000,2815744943,0.105794,1.01684,finfet,"{""psf_sigma"":0.7505351946104022,""photons"":145.40348710290368,""detector_sigma"":2.5721785645105713,""sp_probability"":0.000559691095768406,""edge_gain"":0.10196958034832308,""vignette"":0.03353816914789076,""streaks"":2}"
4,data\references\ref_0004.png,data\searches\search_0004.png,405.0000,486.0000,383318237,0.108130,0.96033,dram,"{""psf_sigma"":0.902464748368074,""photons"":157.60062819694335,""detector_sigma"":4.2977127110065485,""sp_probability"":0.0005967592422567954,""edge_gain"":0.1362569472689384,""vignette"":0.07155574685420274,""streaks"":2}"
5,data\references\ref_0005.png,data\searches\search_0005.png,546.0000,467.0000,1626358996,0.102294,1.28034,finfet,"{""psf_sigma"":0.9034605433647662,""photons"":91.28159918236936,""detector_sigma"":4.527680289311475,""sp_probability"":0.0004967658135483563,""edge_gain"":0.14459229269832272,""vignette"":0.03959703448740509,""streaks"":3}"
6,data\references\ref_0006.png,data\searches\search_0006.png,545.0000,457.0000,2672194858,0.092137,1.67204,dram,"{""psf_sigma"":1.1391890328450187,""photons"":121.12305604249595,""detector_sigma"":3.9584374676166076,""sp_probability"":0.000813842866773235,""edge_gain"":0.17417252211148865,""vignette"":0.07779593485124386,""streaks"":1}"
7,data\references\ref_0007.png,data\searches\search_0007.png,476.0000,593.0000,3327261487,0.097632,-0.75128,finfet,"{""psf_sigma"":0.7428259235142682,""photons"":137.46427775779514,""detector_sigma"":4.109573978712062,""sp_probability"":0.0007506421855659967,""edge_gain"":0.212233400830986,""vignette"":0.042074075471084965,""streaks"":2}"
8,data\references\ref_0008.png,data\searches\search_0008.png,410.0000,557.0000,2847132518,0.107768,-0.19330,dram,"{""psf_sigma"":1.1308833821402149,""photons"":143.9344299398164,""detector_sigma"":4.758653263542326,""sp_probability"":0.000687151633198084,""edge_gain"":0.1659303154052621,""vignette"":0.040116690002221435,""streaks"":1}"
9,data\references\ref_0009.png,data\searches\search_0009.png,514.5000,461.5000,65051607,0.097217,-0.18164,finfet,"{""psf_sigma"":0.69252248468013,""photons"":154.259227115148,""detector_sigma"":4.673843566070073,""sp_probability"":0.0003091937142050612,""edge_gain"":0.11756680354820237,""vignette"":0.04535363192069964,""streaks"":2}"
